commodity,date,sentiment_positive_mean,sentiment_neutral_mean,sentiment_negative_mean,article_count,dominant_sentiment,sentiment_dispersion
Wheat,2015-07-31,0.0287577137351036,0.2771236598491668,0.6941186189651489,1,negative,0.0
Wheat,2015-08-30,0.0731565952301025,0.8701879382133484,0.0566554963588714,1,neutral,0.0
Wheat,2015-09-06,0.017977274954319,0.067475326359272,0.9145473837852478,1,negative,0.0
Wheat,2015-09-07,0.0671568736433982,0.9099538326263428,0.0228892918676137,1,neutral,0.0
Wheat,2015-09-26,0.1097614094614982,0.80449378490448,0.0857448056340217,1,neutral,0.0
Wheat,2015-11-09,0.8960853219032288,0.0727554336190223,0.0311591941863298,1,positive,0.0
Wheat,2015-11-11,0.0103663904592394,0.0355654917657375,0.9540681838989258,1,negative,0.0
Wheat,2015-11-14,0.0126207377761602,0.0979797914624214,0.889399528503418,1,negative,0.0
Wheat,2015-12-05,0.0995484851300716,0.5112332329154015,0.3892182717099785,2,neutral,0.0678203739225864
Wheat,2015-12-07,0.0301680490374565,0.6429055333137512,0.3269264698028564,1,neutral,0.0
Wheat,2015-12-08,0.14547465741634366,0.8252731561660767,0.029252193247278468,3,neutral,0.08516731296652619
Wheat,2015-12-27,0.0312302000820636,0.1872597634792328,0.781510055065155,1,negative,0.0
Wheat,2015-12-29,0.4766910076141357,0.4981188774108886,0.0251901075243949,1,neutral,0.0
Wheat,2016-01-02,0.0674712359905242,0.4295940399169922,0.5029347538948059,1,negative,0.0
Wheat,2016-01-04,0.0180640630424022,0.1030219793319702,0.878913938999176,1,negative,0.0
Wheat,2016-01-07,0.0877833291888237,0.6229718923568726,0.2892447412014007,1,neutral,0.0
Wheat,2016-01-10,0.0218090675771236,0.125466376543045,0.852724552154541,1,negative,0.0
Wheat,2016-01-12,0.0108659826219081,0.0648710578680038,0.9242628812789916,1,negative,0.0
Wheat,2016-01-30,0.0429631061851978,0.906058430671692,0.0509784519672393,1,neutral,0.0
Wheat,2016-02-15,0.04133309423923485,0.8300348818302155,0.1286319904029369,2,neutral,0.0005353875458240509
Wheat,2016-02-20,0.050319980829954106,0.3814128488302231,0.5682671666145325,2,negative,0.0018325671553611998
Wheat,2016-03-04,0.0238631088286638,0.2162873148918151,0.7598495483398438,1,negative,0.0
Wheat,2016-03-07,0.0102408220991492,0.0539926625788211,0.9357665181159972,1,negative,0.0
Wheat,2016-03-10,0.0348138883709907,0.936247169971466,0.0289388913661241,1,neutral,0.0
Wheat,2016-03-13,0.0168601833283901,0.1902895718812942,0.7928502559661865,1,negative,0.0
Wheat,2016-03-14,0.0119070578366518,0.0486520454287529,0.939440906047821,1,negative,0.0
Wheat,2016-03-18,0.0704725831747055,0.9061777591705322,0.0233496949076652,1,neutral,0.0
Wheat,2016-03-20,0.8244602680206299,0.1386658847332,0.0368738211691379,1,positive,0.0
Wheat,2016-03-26,0.0115450033918023,0.0233092717826366,0.9651456475257874,1,negative,0.0
Wheat,2016-03-29,0.4235562672838568,0.2225531488656997,0.35389060620218515,2,positive,0.40086382720619446
Wheat,2016-04-03,0.1466785222291946,0.723660409450531,0.1296610832214355,1,neutral,0.0
Wheat,2016-04-05,0.40285304514691234,0.1686168164014816,0.4285301454365253,2,negative,0.3872851994819939
Wheat,2016-04-14,0.0501031093299388,0.9319448471069336,0.0179520454257726,1,neutral,0.0
Wheat,2016-04-15,0.0338873453438282,0.4905894100666046,0.4755232632160187,1,neutral,0.0
Wheat,2016-04-18,0.0146513115614652,0.1632650345563888,0.8220836520195007,1,negative,0.0
Wheat,2016-04-21,0.7253125905990601,0.2616280317306518,0.0130593376234173,1,positive,0.0
Wheat,2016-04-22,0.0094517171382904,0.0520081184804439,0.9385401606559752,1,negative,0.0
Wheat,2016-04-23,0.0154906660318374,0.1399445831775665,0.8445647954940796,1,negative,0.0
